page;question;answer
1;Qu'est ce qu'une opération de vente en solde et quelle est la différence entre les ventes en soldes et les ventes promotionnelles?;Les ventes en soldes, sont des ventes au détail précédées ou accompagnées de publicité et visant, par une réduction de prix, l'écoulement accéléré de biens détenus en stock. La distinction essentielle entre les ventes en soldes et les ventes en promotion tient au fait que les promotions visent à dynamiser les ventes et non à écouler des stocks comme le cas des soldes. Il s'agit de ventes à prix réduits, et à la différence des soldes, elles sont autorisées toute l'année.
1;Quel est le but des soldes pour les commerçants?;Le but des soldes est de permettre l'écoulement rapide d'une ancienne collection afin de recevoir une marchandise récente, mais également de se constituer et fidéliser une clientèle, et ainsi dynamiser leurs ventes et par conséquent augmenter leur chiffre d'affaire.
1;Quels sont les secteurs qui peuvent participer aux ventes en soldes?;Tous les secteurs peuvent participer aux soldes, néanmoins les ventes en soldes ne peuvent porter que sur des biens acquis par l'agent économique depuis trois (03) mois au minimum, à compter de la date de début de la période des ventes en soldes
1;Comment sont déterminées les périodes des soldes en Algérie?;- Les dates de déroulement des ventes en soldes sont fixées au début de chaque année, par arrêté du Wali, sur proposition du Directeur de Wilaya du Commerce territorialement compétent après consultation des associations professionnelles concernées et des associations de protection des consommateurs. - Les ventes en soldes sont autorisées deux (2) fois par année civile. Chaque opération de vente en solde, d'une durée continue de six (6) semaines, doit intervenir durant les saisons hivernale et estivale. - Les ventes en soldes sont réalisées durant les périodes comprises entre les mois de janvier et février pour la période hivernale et entre les mois de juillet et août pour la période estivale. - Les dates de déroulement des ventes en soldes sont fixées au début de chaque année, par arrêté du Wali, sur proposition du Directeur de Wilaya du Commerce territorialement compétent après consultation des associations professionnelles concernées et des associations de protection des consommateurs. - L'agent économique peut interrompre les ventes en soldes avant la fin de la durée. Toutefois, il doit en informer les services concernés de la DCW concernée par un écrit déposé auprès de ces services.
1;Est ¬ il obligatoire de faire des soldes?;Le commerçant est libre de faire des soldes sur tout ou partie de la période programmées, voire même de ne pas éprouver le besoin d'y avoir recours. Il peut aussi choisir librement les articles qui seront proposés en solde ainsi que l'importance de la réduction de prix accordée.
1;Quelles sont les règles qui encadrent ce type d'opération?;- Les ventes en soldes ne peuvent porter que sur des biens acquis par l'agent économique depuis trois (03) mois au minimum, à compter de la date de début de la période des ventes en soldes. - Tout agent économique concerné doit rendre publics, par voie d'affichage sur la devanture de son local commercial et par tous autres moyens appropriés, les dates de début et de fin des ventes en soldes, les biens concernés, les prix pratiqués auparavant et les réductions de prix consenties qui peuvent être fixes ou graduelles. - Les biens devant faire l'objet des ventes en soldes sont exposés à la vue de la clientèle séparément des autres biens. - les ventes en soldes sont réalisées par les agents économiques dans les locaux où ils exercent leur activité.
1;Quel est le dossier demandé pour la réalisation des ventes en soldes?;L'agent économique désirant réaliser des ventes en soldes doit déposer, auprès du Directeur de Wilaya de Commerce territorialement compétent, une demande d'exercice accompagnée des pièces suivantes: - La copie de l'extrait du registre de commerce ou, le cas échéant, la copie de l'extrait du registre de l'artisanat et des métiers. - La liste et les quantités des biens devant faire l'objet des ventes en soldes. - L'état reprenant les réductions de prix à appliquer ainsi que les prix pratiqués auparavant. - Tout dépôt de dossier conforme, donne lieu à la délivrance séance tenante, d'une autorisation qui permet à agent économique d'entamer les ventes en soldes durant la période fixée. « 1 2 3 4 5 6 7 8... 49 50 »
2;Qu'est-ce qu'une intoxication alimentaire?;Les intoxications alimentaires résultent de l'ingestion d'aliments contaminés par un micro-organisme nocif ou agent pathogène
2;Quels sont les principaux agents qui sont à l'origine, des intoxications alimentaires?;"a. Agents biologiques: - Bactéries et les toxines - Virus; - Parasites; - Levures et moisissures; - Champignons vénéneux. b. Agents chimiques: - Mycotoxines; - Pesticides, herbicides; - Antibiotiques, hormones; - Polluants comme les métaux lourds;"
2;Quelles sont les principales causes d'une intoxication alimentaire?;"- Produits alimentaires mal conservés et mal stockés; - Produits alimentaires mal étiquetés; - Rupture de la chaine de froid notamment, lors de la saison estivale; - Utilisation de l'eau impropre à la consommation; - Consommation d'un produit alimentaire dont la date limite est dépassée."
2;Quels sont les produits les plus incriminés?;"E n général se sont les produits périssables qui sont les plus incriminés, à savoir: - Viandes et produits à base de viande; - Laits et dérivés; - Poissons et crustacées; - Pâtisseries; - Glaces et crèmes glacées… - Oeufs et ovo produits"
2;Quels sont les lieux les plus incriminés?;"- Fêtes, mariages, baptêmes, cérémonies familiales - Fast-food, restauration rapide; - Restauration collective"
2;Quels sont les symptômes d'une intoxication alimentaire?;"Parmi les symptômes d'intoxication alimentaire, on compte: - Les nausées; - Les vomissements; - La diarrhée; - La fièvre; - Les douleurs abdominales."
2;Quel est le cadre législatif et réglementaire régissant l'hygiène et la salubrité des aliments?;"• Loi n° 09-03 du 25 février 2009 relative à la protection du consommateur et à la répression des fraudes; • Décret exécutif n°91-53 du 23 février 1991 relatif aux conditions d'hygiène lors du processus de la mise à la consommation des denrées alimentaires; • Décret exécutif n°05-484 du 22 décembre 2005 modifiant et complétant le décret n°90-367 du 10 novembre 1990 relatif à l'étiquetage et à la présentation des denrées alimentaires; • Arrêté interministériel du 21 novembre 1999 relatif aux températures et procédés de conservation par réfrigération, congélation ou surgélation des denrées alimentaires; • Arrêté interministériel du 24 janvier 1998 modifiant et complétant l'arrêté du 23 juillet 1994 relatif aux spécifications microbiologiques de certaines denrées alimentaires;"
2;Comment éviter une intoxication alimentaire?;"Vous ne pouvez pas toujours prévenir une intoxication alimentaire, mais vous pouvez prendre certaines mesures de précaution pour réduire au minimum ce risque. Voici quelques petits conseils: - U tiliser un emballage alimentaire; - Respecter la date de péremption; - C onserver les aliments aux températures indiqués sur l'étiquetage; - Consommer frais; - Séparer les aliments crus des aliments cuits; - Bien cuire les aliments; - Eviter de toucher les aliments lorsque vous êtes malades; - Bien couvrir les aliments avant de les conserver; - Veiller à l'hygiène des mains; - Eviter les commerces insalubres; - Utiliser de l'eau potable; - Eviter les produits non conformes en matière d'étiquetage et les produits non étiquetés; - Proscrire les produits mal conservés et mal stockés; - Eviter les aliments vendus sur la voie publique; - Eviter de recongeler un produit déjà décongelé"
2;Pourquoi conserve-t-on les denrées alimentaires?;La conservation est une méthode utilisée pour préserver un état existant de l'aliment ou de retarder son altération et d'empêcher toute modification de son goût ou, de son aspect organoleptique, susceptible d'être provoquée par des facteurs chimiques (oxydation), physiques (température, lumière) ou biologique (micro-organismes).
2;Quelles sont les températures à respecter pour conserver les denrées alimentaires réfrigérées, congelées et surgelées?;Les aliments réfrigérés doivent être conservés à des températures voisines de celles de la glace fondante (0°C) et à la maintenir à une température au dessus de 0°C. · Les aliments congelés doivent êtres conservés à des températures qui varient entre -10°C et - 8°C. · Les aliments surgelés doivent être conservés à une température qui atteint un minimum de -18°C
2;Comment peut-on conserver les aliments frais au niveau des ménages?;"Choisir des aliments frais, en bon état, sains et exempts de tout défaut; - Les laver soigneusement dans de l'eau froide en les rinçant fréquemment (on peut ajouter quelques gouttes d'eau de javel dans l'eau); - Egoutter et découper-les en petits morceaux si c'est nécessaire; - Les mettre dans un sachet ou une boite alimentaire, destinée à la conservation; - Préparer toujours des petites portions: elles se prêtent mieux à la décongélation; - Marquer chaque sachet ou boite du nom de l'aliment et de la date de congélation; - Faire sortir les aliments conservés du plus ancien au moins ancien; - Faire sortir du congélateur juste la quantité exacte destinée à la préparation du repas voulu; - Ne jamais recongeler un aliment décongelé. car le froid freine ou peut détruire partiellement des bactéries, mais leur processus de développement reprend rapidement dès leur décongélation; - La cuisson doit se faire à une température de 100 °C pendant une durée suffisante pour la destruction de tous les germes dangereux; - Vérifier régulièrement la température de votre réfrigérateur ou congélateur pour s'assurer que la température est stable."
2;Comment les denrées alimentaires sont-elles conservées et quelles sont les substances utilisées?;Pour retarder l'altération des denrées alimentaires par les micro-organismes, on utilise des substances antimicrobiennes (les conservateurs) qui inhibent, retardent ou empêchent la croissance et la prolifération des bactéries, des levures et des moisissures
2;Quels sont les avantages des conserves?;L es conserves permettent de garder les aliments à température ambiante pendant 2 à 5 ans. Elles concernent une grande diversité d'aliments: légumes, fruits, poissons, viandes, plats cuisinés, sauces, et offrent une meilleure disponibilité de produits sur le marché.
2;Quelles sont les précautions à prendre pour une consommation saine des conserves?;- Vérifier les emballages (traces de rouille, fond bombé…) et jeter toutes les conserves bombées. - Respecter les dates de péremption inscrites sur les boîtes de conserve. - Ne pas conserver une boîte de conserve ouverte depuis plus de 48 heures. - Laver le couvercle de la boîte avant de l'ouvrir pour éviter une contamination du contenu par d'éventuelles salissures extérieures. - Ne pas consommer les conserves présentant une couleur détournée ou une odeur anormale. « 1 2 3 4 5 6 7 8... 49 50 »
3;A quoi est destiné le FSPE?;L e Fonds Spécial Pour la Promotion des Exportations (FSPE) a été institué par la loi de finances pour 1996. Il est destiné à apporter un soutien financier aux exportateurs dans leurs actions de promotion et de placement de leurs produits sur les marchés extérieurs
3;Qui est concerné par le FSPE?;L 'aide de l'État par le biais du FSPE est octroyée à toute entreprise résidente productrice de biens ou services et à tout commerçant régulièrement inscrit au registre de commerce œuvrant dans le domaine de l'exportation
3;Quelles sont les rubriques d'aides prévues par le FSPE?;"Cinq rubriques d'aides sont prévues Les charges liées à l'étude des marchés extérieurs, La prise en charge partielle des frais des participations aux foires et expositions à l'étranger; Une partie des coûts de prospections des marchés extérieurs; Le coût de transport international et de manutention dans les ports algériens des marchandises destinées à l'exportation; Le financement des coûts liés à l'adaptation des produits aux marchés extérieurs"
3;Quel pourcentage d'aide FSPE est accordé par le Ministère du Commerce?;1-P articipation aux manifestations économiques à l'étranger: 80%, dans le cas d'une participation collective aux foires et expositions inscrites au programme annuel officiel. 50%, dans le cas d'une participation individuelle aux autres foires ne figurant pas au programme annuel officiel. 100%, dans le cas d'une participation revêtant un caractère exceptionnel ou se limitant à la mise en place d'un guichet unique. Les frais de publicités (affichages, brochures, dépliants, publicité sur médiats écrits et audio visuel), spécifiques à la manifestation considérée (intitulé de la foire, période, lieu,...etc), sont éligibles à une couverture par le FSPE. 2-P our le transport, transit et manutention des marchandises destinées à l'exportation: 50%, dans le cas de transport international des produits agricoles périssables à l'exception des dattes. 25%, dans le cas de transport international des produits non agricoles à destination éloignée. 80%, dans le cas de transport international des dattes et ce, pour toutes destinations de ce produit. N.B: Le coût du transport routier sur le territoire national n'est pris en considération que pour les trajets effectués sur les distances supérieures à 150 Kilomètres, à raison de cinq (05) dinars/tonne/Kilomètre.
3;Où et quand introduire la demande d'aide FSPE?;"Les dossiers doivent être introduits dans un délai maximum de (180) jours +(30) jours après la réalisation de l'opération d'exportation; La recevabilité des dossiers est conditionnée par: L'enregistrement des demandes selon les fiches de dépôt ci-jointes et disponibles au niveau du Ministère du commerce (à remplir par l'entreprise demanderesse) La présentation de justificatifs (originaux) lisibles. NB: - Le paiement effectif de la subvention accordée est effectué a posteriori, après présentation des pièces justifiant les dépenses engagées. « 1 2 3 4 5 6 7 8... 49 50 »"
4;Quels sont les critères relatifs à votre statut?;"les critères relatifs à votre statut: Vous êtes opérateur économique de nationalité étrangère, vous devez vous conformer aux dispositions de la loi de finances complémentaire pour l'année 2009, de la loi de finances complémentaire pour 2010 et de la loi de finances pour l'année 2012, dans leur article respectifs 58,45,63 et 65 modifiant et complétant l'article 04 bis de l'ordonnance n°01-03 du 20 aout 2001, modifiée et complétée relative au développement de l'investissement, ainsi: Réaliser votre projet en partenariat avec dés nationaux résidents, publics ou privés, dont le capital social est détenu par ces derniers à hauteur de: 51 % pour les activités de production de biens ou de services; 30 % pour les activités d'importation. Toutefois, si votre société est immatriculée au registre du commerce avant la promulgation de la loi de finances complémentaires pour 2009, vous devriez au préalable à la modification de cette immatriculation, la conformer aux règles de répartition du capital sus-énoncées, sauf pour les modifications ayant pour objet: La modification du capital social (augmentation ou diminution) qui n'entraîne pas un changement dans les proportions de répartition du capital social fixées ci dessus; La cession ou l'échange, entre anciens et nouveau administrateurs, d'actions de garantie prévues par l'article 619 du code de commerce et ce, sans que la valeur des dites actions ne dépasse 1% du capital social de la société; La suppression d'une activité ou le rajout d'une activité connexe; La modification de l'activité suite à la modification de la nomenclature des activités; La désignation des dirigeants de la société Le changement d'adresse du siège social."
4;Quels sont les critères relatifs à votre secteur d'activité?;"les critères relatifs à votre secteur d'activité: En choisissant votre secteur d'activité vous devez connaître au préalable les conditions de son exercice, ainsi l'exercice de certaines activités, dites ""activités réglementées"" est subordonné à l'obtention d'un agrément ou toute autre autorisation, tel que prévu par la réglementation en vigueur y afférent. Aussi, conformément à l'article 2 de la loi 04-08 du 14/08/2004 relatives aux conditions d'exercice des activités commerciale modifié et complété et l'arrêté du ministère du commerce du 13 juin 2011 fixant la durée de validité de l'extrait du registre du commerce délivré aux assujettis pour l'exercice de certaines activités a fixé la durée de validité des extraits du registre du commerce délivré aux assujettis pour l'exercice des activités cités ci-dessous à deux (02) années, renouvelable qui prend effet à compter de la date de l'inscription au registre du commerce: Les activités d'importation de matières premières les activités d'importation de matières premières, produits et marchandises destinés à la revente en l'état, à l'exception des opérations d'importation réalisées pour propre compte par tout opérateur économique dans le cadre de ses activités de production, de transformation et/ou de réalisation dans la limite de ses propres besoins;"
4;Quel Choix de votre secteur d'activité? Quel est le lieu d'implantation de votre entreprise?;"1- Choix de votre secteur d'activité: A partir de votre idée, nous: - voir le code d'activité dans la nomenclature des activités econimques - l'activité choisie doit se conformer aux conditions de son exercice (activité réglementée, homogénéité de certaines activités...). 2- Choix du lieu d'implantation de votre entreprise: Selon l'activité commerciale choisie, vous pouvez déterminer le lieu d'implantation de votre entreprise: Pour l'exercice d'un commerce, vous devez présenter l'un des documents suivants: - Un titre de propriété d'un local commercial; - Un bail commercial; - Un acte de propriété d'un fonds de commerce; - Un contrat de location gérance d'un fonds de commerce. Pour un investissement, dans certains secteurs d'activités, il y a lieu de vous présenter à l'un des organismes suivants: Industrie: Agence Nationale l'Intermédiation et de régulation foncière: ANIREF (sur le territoire national); Adresse: 13, Avenue Mustapha Sayed El-Ouali (ex Debussy) Alger Tel: (+213).21.71.67.45 Fax: (+213).21.71.67.50 Email: contact@aniref.dz Site Web: www.aniref.dz Comité d'Assistance à la localisation et à la promotion des Investissement et de régulation du foncier:CALPIREF (sur le plan local: wilayas), Tourisme: Agence National du Développement du tourisme ANDT: Adresse: Village Artisanal Sidi Fredj BP78 Sidi Fredj, Staouali, Alger Tel: (+213) 21.37.63.17 Fax: (+213)21.37.67.16"
4;Quel choix du mode de financement?;"Selon les conditions, plusieurs organismes peuvent vous aider à financer votre projet avec le suivi en phase d'exploitation et avantages accordés, à condition de mobiliser un apport personnel, vous pouvez donc vous présenter auprès de l'un des organismes suivants: L'ANSEJ (Agence Nationale de Soutien à l'Emploi des Jeunes) si vous êtes chômeur, avez entre 19 et 35 ans pour le gérant l'âge peut aller jusqu'à 40 ans avec engagement de créer trois (03) emplois permanents (y compris les associés) pour un montant maximum d'investissement de la valeur de 10.000.000 de DA. Adresse: 8, Rue Arezki Ben Bouide, les Annassers Alger Tel: 021.67.82.08/ 021.67.82.18/ 021.67.82.35/021.67.82.36/ 021.67.82.39/ 021.67.82.61 Fax: 021.67.75.74/ 021.67.75.87 E-mail: [emailprotected] Site web: www.ansej.org.dz L'ANGEM (Agence Nationale de Gestion de Micro Crédit) si vous êtes sans revenu ou avez des revenus instables et irréguliers, avez plus de 18 ans et possédez un savoir faire en relation avec l'activité projetée, pour un prêt de 30.000 à 400.000 DA; La CNAC (la Caisse Nationale d'Assurance Chômage) si vous êtes chômeur, avez entre 35 et 50 ans et pour un montant maximum d'investissement de la valeur de 10.000.000 de DA; Adresse: 97,bd colonel Bouguera, El Biar, Alger Tel: 021.92.98.25 à 29 Fax: 021.92.98.36 E-mail: [email protected] Site web: www.cnac.dz L'ANDI (Agence Nationale du Développement de l'investissement) pour tout investissement au sens de l'ordonnance N° 01-03 du 20 Août 2001 relative au développement de l'investissement qui concerne: - Les acquisitions d'actifs entrant dans le cadre de création d'activités nouvelles, d'extension de capacités de production, de réhabilitation ou de restructuration; - La participation dans le capital d'une entreprise sous forme d'apports en numéraires ou en nature; - Les reprises d'activités dans le cadre d'une privatisation partielle ou totale. Adresse: 27, rue Mohamed Merbouche BP 414 Hussein dey, Alger Tel: (+213) 21.77.32.62/63 Site web: www.andi.dz Quel Choix de la forme juridique de votre entreprise Il existe plusieurs formes juridiques vous permettant de créer l'entreprise qui répond à vos attentes, seul ou avec des associés, ce choix s'avère fondamental, voire crucial, car il fixera le mode d'imposition approprié, tel que défini par la législation fiscale, ainsi que les responsabilités et les obligations en découlant. Votre choix devra donc être le plus adapté à vos besoins et le plus avantageux. Créer seul son entreprise: Vous voulez être votre propre patron, et ainsi seul gestionnaire de votre affaire, il existe pour vous deux formes juridiques vous permettant de travailler seul en créant un projet à vous: L' entreprise individuelle (personne physique): En choisissant cette forme d'entreprise, sachez que: - Elle est destinée en général pour les entreprises de taille modeste; - Ne demandant pas des statuts, sa création est simple; - L'accomplissement des formalités d'inscription au registre du commerce est rapide; A cause de la confusion entre votre patrimoine et celui de l'entreprise, l'acquittement des dettes de l'entreprise peut s'étendre à vos biens personnels; - L'immatriculation au registre du commerce confère la qualité de commerçant. - L'entreprise unipersonnelle à responsabilité limitée (EURL): En choisissant cette forme d'entreprise, sachez que: - C'est une société de personne; - Le capital social minimum exigé est de 100.000 DA; - Vos biens personnels seront distincts de ceux de votre entreprise et ne répondrez de ce fait des dettes de l'entreprise qu'à concurrence du capital social; - L'immatriculation au registre du commerce confère la personnalité morale à l'entreprise et la qualité de commerçant au gérant. 4.2-Créer une entreprise avec des associés: Vous ne voulez pas travailler seul et souhaiter créer votre entreprise avec un ou plusieurs associés, vous pouvez prendre des engagements au nom et pour le compte de votre société en choisissant la forme juridique qui vous convient le mieux: La Sociétés en Nom Collectif (SNC): En choisissant cette forme d'entreprise, sachez que: - C'est une société de personnes; - C'est en général une entreprise familiale; - Le nombre minimum d'associé est de deux; - Il nya pas de minimum de capital social exigé; - Le capital social est divisé en parts sociales; - les parts sociales ne peuvent être cédées qu'avec le consentement de tous les associés; - La gérance appartient à tous les associés, sauf stipulation contraire des statuts qui peuvent désigner un ou plusieurs gérants, associés ou non; - A cause de la confusion entre votre patrimoine et celui de l'entreprise, l'acquittement des dettes de l'entreprise peut s'étendre à vos biens personnels; - L'immatriculation au registre du commerce confère la qualité de commerçant. L'entreprise unipersonnelle à responsabilité limitée (EURL): En choisissant cette forme d'entreprise, sachez que: - C'est une société de personne; - Le capital social minimum exigé est de 100.000 DA; - Vos biens personnels seront distincts de ceux de votre entreprise et ne répondrez de ce fait des dettes de l'entreprise qu'à concurrence du capital social; - L'immatriculation au registre du commerce confère la personnalité morale à l'entreprise et la qualité de commerçant au gérant. 4.2-Créer une entreprise avec des associés: Vous ne voulez pas travailler seul et souhaiter créer votre entreprise avec un ou plusieurs associés, vous pouvez prendre des engagements au nom et pour le compte de votre société en choisissant la forme juridique qui vous convient le mieux: La Sociétés en Nom Collectif (SNC): En choisissant cette forme d'entreprise, sachez que: - C'est une société de personnes; - C'est en général une entreprise familiale; - Le nombre minimum d'associé est de deux; - Il nya pas de minimum de capital social exigé; - Le capital social est divisé en parts sociales; - Les parts sociales ne peuvent être cédées qu'avec le consentement de tous les associés; - La gérance appartient à tous les associés, sauf stipulation contraire des statuts qui peuvent désigner un ou plusieurs gérants, associés ou non; 4- Choix de la forme juridique de votre entreprise: La Société à Responsabilité Limitée (SARL): En choisissant cette forme d'entreprise, sachez que: - C'est une société de capitaux; - Elle doit être constituée par un minimum de deux associés et d'un maximum de vingt; - Le capital social minimum exigé pour sa constitution est de 100.000 DA; - Le capital social est divisé en parts sociales d'égale valeur nominale de 1.000 DA au moins; - Les associés répondent des dettes de l'entreprise à concurrence de leurs apports; L'immatriculation au registre du commerce confère la personnalité morale à l'entreprise et la qualité de commerçant uniquement aux gérants. - C'est en général une entreprise familiale; - Le nombre minimum d'associé est de deux; - Il nya pas de minimum de capital social exigé; - Le capital social est divisé en parts sociales; - les parts sociales ne peuvent être cédées qu'avec le consentement de tous les associés; - La gérance appartient à tous les associés, sauf stipulation contraire des statuts qui peuvent désigner un ou plusieurs gérants, associés ou non; 4.2-Créer une entreprise avec des associés: La Sociétés en Nom Collectif (SNC): En choisissant cette forme d'entreprise, sachez que: - C'est une société de personnes; - C'est en général une entreprise familiale; - Le nombre minimum d'associé est de deux; - Il nya pas de minimum de capital social exigé; - Le capital social est divisé en parts sociales; - Les parts sociales ne peuvent être cédées qu'avec le consentement de tous les associés; La gérance appartient à tous les associés, sauf stipulation contraire des statuts qui peuvent désigner un ou plusieurs gérants, associés ou non; - Tous les associés répondent indéfiniment et solidairement des dettes de l'entreprise; - La société prend fin par le décès de l'un des associés sauf stipulation contraire des statuts; - L'immatriculation au registre du commerce confère à l'entreprise la personnalité morale et à tous les associés la qualité de commerçant. La Société en commandite simple (SCS): En choisissant cette forme d'entreprise, sachez que: - C'est une société hybride: de personnes pour les commandités et de capitaux pour les commanditaires; - Le capital social est divisé en parts sociales; - La société est gérée par un ou plusieurs gérants; - Les commandités répondent indéfiniment et solidairement des dettes de l'entreprise; - Les commanditaires ne répondent des dettes de l'entreprise qu'à concurrence de leurs apports; - L'immatriculation au registre du commerce confère à l'entreprise la personnalité morale et aux commandités la qualité de commerçant; - Elle est peu répandue en Algérie."
